query,users,%share,,,,,,,,,,,,,,,,,,,,,240670,Volume based classification,Intent based classification
demon slayer,106,0.04%,,,,,,,,,,,,,,,,,,,,,,Niche Queries,B.1 Bare Character/Theme
Gojo,105,0.04%,,,,,,,,,,,,,,,,,,,,,,Niche Queries,Uncategorized
Tshirts,105,0.04%,,,,,,,,,,,,,,,,,,,,,,Niche Queries,Uncategorized
Oversized t shirt for men,104,0.04%,,,,,,,,,,,,,,,,,,,,,,Niche Queries,A.5 Product + Multiple Modifiers
T-shirt,103,0.04%,,,,,,,,,,,,,,,,,,,,,,Niche Queries,A.1 Bare Product
Full sleeve,103,0.04%,,,,,,,,,,,,,,,,,,,,,,Niche Queries,Uncategorized
shorts,102,0.04%,,,,,,,,,,,,,,,,,,,,,,Niche Queries,A.1 Bare Product
Stranger things,102,0.04%,,,,,,,,,,,,,,,,,,,,,,Niche Queries,B.1 Bare Character/Theme
Jogger,101,0.04%,,,,,,,,,,,,,,,,,,,,,,Niche Queries,Uncategorized
Trouser,100,0.04%,,,,,,,,,,,,,,,,,,,,,,Niche Queries,A.1 Bare Product
Ben 10,100,0.04%,,,,,,,,,,,,,,,,,,,,,,Niche Queries,Uncategorized
Short,99,0.04%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,Uncategorized
Shirts for women,99,0.04%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,A.2 Product + Gender
Cargo for men,98,0.04%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,A.2 Product + Gender
Harry Potter,98,0.04%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,B.1 Bare Character/Theme
Full sleeve tshirt,98,0.04%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,A.4 Product + Style
Phone case,98,0.04%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,A.1 Bare Product
marvel,98,0.04%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,B.1 Bare Character/Theme
Formal shirts,97,0.04%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,C.2 Product + Occasion
Pants for men,97,0.04%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,A.2 Product + Gender
Zoro,97,0.04%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,Uncategorized
Men shirts,97,0.04%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,A.2 Product + Gender
Phone covers,97,0.04%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,Uncategorized
Oversized tshirt for women,96,0.04%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,A.5 Product + Multiple Modifiers
Vengeance,95,0.04%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,Uncategorized
hoodies,95,0.04%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,A.1 Bare Product
Anime tshirt,95,0.04%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,B.2 Product + Character
Pyjamas,94,0.04%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,A.1 Bare Product
Baggy jeans men,93,0.04%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,A.5 Product + Multiple Modifiers
Punisher,92,0.04%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,Uncategorized
