query,users,%share,,,,,,,,,,,,,,,,,,,,,240670,Volume based classification,Intent based classification
Harry Potter oversized t shirt for mens,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,B.3 Character + Gender + Product
Radium shirt,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.1 Bare Product
Ankel length lower,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.1 Bare Product
Basketball shoes for men,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.2 Product + Gender
Anime T shirt for men,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,B.3 Character + Gender + Product
Light colour tshirt for women,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.2 Product + Gender
Short length top ladies,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.1 Bare Product
Creme colour  Jens,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Mony tshirt,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.1 Bare Product
Black skiny colar top,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.3 Product + Color
Lower tshirt combo,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.4 Product + Style
Anime design,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,B.1 Bare Character/Theme
Rani pink tshirt,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.3 Product + Color
Shirt for men stylish back print,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.2 Product + Gender
Psy t shirt over size,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.1 Bare Product
Half shorts men,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.2 Product + Gender
Nyt dress,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.1 Bare Product
T shirt for men in combo,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.5 Product + Multiple Modifiers
Grey colour full t-shirt,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.3 Product + Color
Wind has,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Hoddle,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Palestine flag,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Layka pant man,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.1 Bare Product
Ganpati print,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Sun glasses men,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Combo t shirt for women,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.5 Product + Multiple Modifiers
Anime snekers,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,B.1 Bare Character/Theme
Nineteen,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Brother sister  tshirts print,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Marvel  shirt,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,B.2 Product + Character
Bewakoof heavy duty men Dc,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,B.3 Character + Gender
Jaipur,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
oppo a1k,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Quoted tshirt men,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.2 Product + Gender
Pyjama for girls,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.2 Product + Gender
Men baggy fit jeans,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.5 Product + Multiple Modifiers
S shoes,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.1 Bare Product
Watch watch smart Ghadi,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.1 Bare Product
Nothing phone 2a back cover,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Top for womne,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.1 Bare Product
Herry potter t shirt,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.1 Bare Product
Joggers straight fit zipocket,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.4 Product + Style
Cofee t shirts,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.1 Bare Product
Simple tshirt women,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.2 Product + Gender
Men friends,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,B.3 Character + Gender
full sleeve mens,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Joggers simple,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.1 Bare Product
Hoddies for mens with zipper,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.2 Product + Gender
Iphone 16 pro black vovers,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
leperd print jense,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Dmun,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Beige pent for women,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Wide gym pants men,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,C.2 Product + Occasion
skilitan printed T shirt,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.4 Product + Style
Man sando,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.1 Bare Product
Cab,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Oversized t shirt man green colour,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.5 Product + Multiple Modifiers
Month,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Know your power,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Oversized full sleeve shirt,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.4 Product + Style
Premium quality cotton oversized tshirts,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Oversize tshirt snake,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.1 Bare Product
Cropped,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Chiller,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Boyfriend fit red tees,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Kaboom red colour tshirt,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.3 Product + Color
iPhone 15 silicon cover,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
ambrella,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Palazzo set,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Disney merch,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,B.1 Bare Character/Theme
Selipar,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Loafers for women,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
slippera,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
oppo f 19 pro cover,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
harry potter cover,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,B.1 Bare Character/Theme
Earrings,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Plain dark green tshirt for men,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.5 Product + Multiple Modifiers
strange things,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Freedom Sounds Graphic,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Solid black collar T shirt,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.5 Product + Multiple Modifiers
Coard,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Korean pant relaxed fit,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.4 Product + Style
Black mugiwara crew,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Fogg,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Revolution,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Scout game,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Tokyo Revengers hoodie,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.1 Bare Product
Women oversized t-shirts,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.5 Product + Multiple Modifiers
Black short t shirt for women,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.5 Product + Multiple Modifiers
Balcava double hoddie,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.1 Bare Product
Levender t shirts for women,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.2 Product + Gender
Jogera,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Jewelry set,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Short frocks for women,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Tanks oversized,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.4 Product + Style
cmf phone 2 pro,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Pixel 6,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Ice colour jeans,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.1 Bare Product
Net topes,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Oversized tshirt harry potter for women,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,B.3 Character + Gender + Product
Sofa,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Unique tshirt,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.1 Bare Product
Co ord set for plus size women,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Pink shorts woman,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.3 Product + Color
Ferrari Men's Cotton Colored Shield Tee,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Kaspy men printed,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Wolverine oversized tshirt for men,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.5 Product + Multiple Modifiers
Vivoy300,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Slim straight fit pants,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.4 Product + Style
Black halfshoulder tshirt,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.3 Product + Color
Outfit for 5xl men,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Samaung f34,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Spiderman locat,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,B.1 Bare Character/Theme
2 pac,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Oversized jeans mens,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.5 Product + Multiple Modifiers
Bewakoof Heavy Duty cargo,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.1 Bare Product
Gym baggy t shirts fulll sleves,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,C.2 Product + Occasion
Shirts with combo,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.4 Product + Style
Coffee shirt men,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,B.3 Character + Gender + Product
white sando men,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.5 Product + Multiple Modifiers
Smnarutoart watch,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.1 Bare Product
Basic tshirt black,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.5 Product + Multiple Modifiers
FCUK T SHIRTS,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.1 Bare Product
blue pant,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.3 Product + Color
Joodie,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Jeans men oversized,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.5 Product + Multiple Modifiers
Women formal kurta,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,C.2 Product + Occasion
Rolex copy Wacth,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Oneplus Nord 4 back cover,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Sport Shoes,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.1 Bare Product
Samsung m53,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Short length Jacket,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.1 Bare Product
Anime tshirts solo leveling,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,B.1 Bare Character/Theme
Ironman T-shirt,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.1 Bare Product
Solid black tshirt,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.5 Product + Multiple Modifiers
Silppr,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Uspa shose,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Men cargo olive green,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.5 Product + Multiple Modifiers
vivo T2 X,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Women payjama under300,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Hoddie for summer,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.1 Bare Product
Slusshy women tshirt,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.2 Product + Gender
500 mein bagic jeans,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.1 Bare Product
Kids dres,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Google pixel 6a silicon back cover,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Off white tishirt,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Wasing machine,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Underwear girls,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.2 Product + Gender
Addidas t shirt,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.1 Bare Product
Cargo pent men,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.2 Product + Gender
Big length jenas,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
woman dresses,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.1 Bare Product
Wamen,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Vivo back covers,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Sweat shirt for men under 500 ruppes,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.2 Product + Gender
hooded tshirt,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.4 Product + Style
Full sleeve t shit lifht pink colour,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Amazon logo,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Oppo reno 14 back case,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Running t shirt,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,C.2 Product + Occasion
Coaching bags,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.1 Bare Product
Pullover sweater,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.1 Bare Product
Buggie jeans for woman,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.1 Bare Product
Tomboy tshirt for women,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.2 Product + Gender
Tshirt for girls doraemon,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.2 Product + Gender
Long tshirt woman,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.1 Bare Product
hoodies for men black,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.5 Product + Multiple Modifiers
Black simple hoodie plus jacket,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.3 Product + Color
Shoes skating,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.1 Bare Product
Cricket Sports tshirt,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,C.2 Product + Occasion
harey potter t shirt,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.1 Bare Product
16 years outfit,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
realme 12 plus,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Man salipars,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Men half sleebe shirt,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.2 Product + Gender
Gym Short for women,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,C.1 Bare Occasion
Aesthetic men clothes,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Naruto for girls,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,B.3 Character + Gender
Bell bottom girls jeans,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.2 Product + Gender
Hakuna Mata tata,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Lapel Collar jacket,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.4 Product + Style
quick dry,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Sound speaker bajane wala Baja,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Oversized t shirt 399,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.4 Product + Style
beatles,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Old navy check shirts,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.3 Product + Color
Tshirt under 700,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.1 Bare Product
VIP shoes,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.1 Bare Product
God of m,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Shirts for men new design,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.2 Product + Gender
Colar tshirt for men,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.2 Product + Gender
Mens tshirt collor,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.2 Product + Gender
Top fasation new white,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.3 Product + Color
Airport cordset,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
White better,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Lagies,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Duds orange tshirt,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.3 Product + Color
Trekking shirts for men,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.2 Product + Gender
Motorbike,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Ladies lowe,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Payajama for women brown,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Cargo pant for boys,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.2 Product + Gender
Sunade t shirt,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.1 Bare Product
Green t shirt for woman,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.3 Product + Color
999 combo,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Cargo pants jins,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.1 Bare Product
Men's navy blue karma graphic,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Broad lower for girls,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.2 Product + Gender
Oversized tshirts for womens,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Lower for men in,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.2 Product + Gender
Men's full t shirt,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.2 Product + Gender
Women jeans high waisted,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.2 Product + Gender
Gayatri t-shirt men,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.2 Product + Gender
T shirt 6to 7 years,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.1 Bare Product
Trending footwear,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
M d f k,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Cargo long pants,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.1 Bare Product
betrayed print t shirt,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.1 Bare Product
Free size tshirt,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.1 Bare Product
authentic,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
White Baggy pants for men,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.5 Product + Multiple Modifiers
Tom shirt,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.1 Bare Product
Hindi t shirts,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.1 Bare Product
Hudfi,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Lower.,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.1 Bare Product
skipper blue tshirt,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.3 Product + Color
Women  dresses,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.2 Product + Gender
Naruto womens,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,B.3 Character + Gender
T-Shirts for boys,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.2 Product + Gender
collar t shirt men,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.5 Product + Multiple Modifiers
Lenin white shirt,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.3 Product + Color
Customizavle teeshirt,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
social battery,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Black slippers for men,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.5 Product + Multiple Modifiers
Gym pents for women,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,C.1 Bare Occasion
Blue  t shirts for women,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.5 Product + Multiple Modifiers
Oversized polo tshirts men,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.5 Product + Multiple Modifiers
Beigi lover,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Ft ishaan khatter,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Anime full sleave t shirt,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,B.2 Product + Character
Woolen sweeter,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Half sleve shirt,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.1 Bare Product
Trak paint Joggers,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.1 Bare Product
Flites for women,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Men's Black Washed Baggy Fit Carpenter Mid-Rise Jeans,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.5 Product + Multiple Modifiers
